x [mm],y [mm],z [mm],B [T]
72,10,2,-0.969
72,12,2,-0.992
74,0,2,-1.019
74,2,2,-0.993
74,4,2,-0.971
74,6,2,-0.959
74,8,2,-0.959
74,10,2,-0.972
74,12,2,-0.995
76,0,2,-1.017
76,2,2,-0.994
76,4,2,-0.972
76,6,2,-0.96
76,8,2,-0.96
76,10,2,-0.973
76,12,2,-0.995
78,0,2,-1.019
78,2,2,-0.994
78,4,2,-0.972
78,6,2,-0.961
78,8,2,-0.961
78,10,2,-0.973
78,12,2,-0.996
80,0,2,-1.021
80,2,2,-0.995
80,4,2,-0.973
80,6,2,-0.961
80,8,2,-0.961
80,10,2,-0.974
80,12,2,-0.996
82,0,2,-1.017
82,2,2,-0.995
82,4,2,-0.973
82,6,2,-0.962
82,8,2,-0.962
82,10,2,-0.974
82,12,2,-0.997
84,0,2,-1.02
84,2,2,-0.995
84,4,2,-0.973
84,6,2,-0.962
84,8,2,-0.962
84,10,2,-0.975
84,12,2,-0.998
86,0,2,-1.016
86,2,2,-0.995
86,4,2,-0.974
86,6,2,-0.962
86,8,2,-0.963
86,10,2,-0.975
86,12,2,-0.998
88,0,2,-1.018
88,2,2,-0.995
88,4,2,-0.974
88,6,2,-0.962
88,8,2,-0.962
88,10,2,-0.974
88,12,2,-0.998
